AP1,AP2,AP3,AP4,AP5,AP6,X,Y,Z
-76,-60,-83,-74,-63,-70,0.6096,0,4.572
-55,-68,-84,-75,-60,-69,1.2192,0,4.572
-49,-72,82,-68,-60,-58,1.8288,0,4.572
-50,-71,-83,-68,-55,-58,2.4384,0,4.572
-62,-61,-73,-65,-55,-59,3.048,0,4.572
-61,-66,-70,-66,-64,-51,3.6576,0,4.572
-59,-70,-74,-66,-56,-50,4.2672,0,4.572
-62,-64,-69,-65,-53,-49,4.8768,0,4.572
-76,-70,-69,-65,-60,-48,5.4864,0,4.572
-68,-69,-75,-73,-64,-46,6.096,0,4.572
-67,-70,-77,-70,-66,-50,6.7056,0,4.572
-75,-69,-81,-80,-62,-56,7.3152,0,4.572
-66,-67,-81,-67,-60,-49,7.9248,0,4.572
-73,-70,-73,-74,-61,-41,8.5344,0,4.572
-65,-76,-72,-74,-66,-45,9.144,0,4.572
-70,-76,-72,-78,-64,-56,9.4488,0,4.572
59,-56,-81,-71,-58,-48,0,0.6096,4.572
-52,-69,-80,-63,-57,-51,0.6096,0.6096,4.572
-40,-68,-72,-65,-60,-51,1.2192,0.6096,4.572
-53,-68,-76,-69,-58,-46,1.8288,0.6096,4.572
-47,-72,-79,-64,-56,-46,2.4384,0.6096,4.572
-52,-69,-75,-75,-60,-53,3.048,0.6096,4.572
-51,-62,-68,-62,-66,-43,3.6576,0.6096,4.572
-62,-72,-73,-65,-57,-50,4.2672,0.6096,4.572
-68,-61,-80,-60,-56,-49,4.8768,0.6096,4.572
-61,-62,-65,-77,-73,-49,5.4864,0.6096,4.572
-45,-65,-77,-71,-65,-57,0,1.2192,4.572
-46,-69,-81,-64,-73,-50,0.6096,1.2192,4.572
-49,-57,-80,-57,-57,-48,1.2192,1.2192,4.572
-52,-58,-80,-62,-59,-48,1.8288,1.2192,4.572
-57,-55,-80,-66,-64,-52,2.4384,1.2192,4.572
-70,-60,-67,-73,-56,-50,3.048,1.2192,4.572
-56,-59,-67,-73,-58,-44,3.6576,1.2192,4.572
-67,-61,-67,-62,-62,-43,4.2672,1.2192,4.572
-67,-58,-67,-70,-62,-43,4.8768,1.2192,4.572
-64,-62,-68,-64,-56,-47,5.4864,1.2192,4.572
-62,-62,-68,-64,-56,-47,6.096,1.2192,4.572
-60,-61,-66,-69,-57,-44,6.7056,1.2192,4.572
-65,-71,-62,-69,-74,-51,7.3152,1.2192,4.572
-58,-69,-57,-66,-71,-49,7.9248,1.2192,4.572
-59,-61,-61,-70,-77,-50,8.5344,1.2192,4.572
-59,-71,-65,-70,-74,-49,9.144,1.2192,4.572
-73,-70,-61,-67,-83,-52,9.7536,1.2192,4.572
-65,-63,-55,-64,-80,-45,10.0584,1.2192,4.572
-65,-68,-71,-70,-83,-60,0,1.8288,4.572
-59,-62,-70,-67,-69,-63,0.6096,1.8288,4.572
-55,-74,-69,-68,-70,-64,1.2192,1.8288,4.572
-55,-74,-69,-68,-70,-64,1.8288,1.8288,4.572
-63,-64,-60,-56,-74,-54,2.4384,1.8288,4.572
-63,-64,-60,-56,-74,-54,3.048,1.8288,4.572
-63,-64,-60,-56,-74,-54,3.6576,1.8288,4.572
-60,-66,-71,-54,-70,-53,4.2672,1.8288,4.572
-61,-68,-67,-55,-65,-52,4.8768,1.8288,4.572
-61,-68,-67,-55,-65,-52,5.4864,1.8288,4.572
-61,-68,-67,-55,-65,-52,6.096,1.8288,4.572
-66,-65,-60,-68,-71,-53,6.7056,1.8288,4.572
-67,-66,-74,-60,-65,-52,7.3152,1.8288,4.572
-64,-66,-76,-61,-68,-51,7.9248,1.8288,4.572
-64,-67,-76,-61,-68,-51,8.5344,1.8288,4.572
-64,-66,-76,-61,-68,-51,9.144,1.8288,4.572
-65,-67,-69,-64,-75,-45,9.7536,1.8288,4.572
-65,-67,-69,-64,-75,-49,10.0581,1.8288,4.572
-66,-63,-64,-69,-72,-58,0,2.4384,4.572
-66,-63,-64,-69,-72,-58,0.6096,2.4384,4.572
-45,-63,-77,-75,-78,-65,1.2192,2.4384,4.572
-56,-64,-71,-67,-79,-67,1.8288,2.4384,4.572
-53,-60,-77,-66,-76,-61,2.4384,2.4384,4.572
-53,-59,-77,-58,-84,-64,3.048,2.4384,4.572
-54,-60,-63,-58,-75,-55,3.6576,2.4384,4.572
-54,-60,-63,-58,-75,-55,4.2672,2.4384,4.572
-54,-60,-63,-58,-75,-55,4.8768,2.4384,4.572
-53,-65,-56,-61,-75,-58,5.4864,2.4384,4.572
-53,-65,-56,-61,-75,-58,6.096,2.4384,4.572
-62,-68,-68,-57,-74,-46,6.7056,2.4384,4.572
-58,-61,-75,-62,-65,-46,7.3152,2.4384,4.572
-57,-63,-58,-68,-68,-46,7.9248,2.4384,4.572
-57,-63,-58,-68,-68,-46,8.5344,2.4384,4.572
-60,-68,-57,-67,-72,-59,9.144,2.4384,4.572
-70,-69,-62,-74,-79,-49,9.7536,2.4384,4.572
-70,-69,-62,-74,-79,-49,10.0581,2.4384,4.572
-60,-68,-72,-61,-69,-53,0,3.048,4.572
-60,-68,-72,-61,-69,-53,0.6096,3.048,4.572
-54,-61,-68,-63,-71,-58,1.2192,3.048,4.572
-54,-61,-68,-63,-71,-60,1.8288,3.048,4.572
-58,-58,-62,-63,-74,-64,2.4384,3.048,4.572
-58,-58,-62,-63,-74,-64,3.048,3.048,4.572
-56,-58,-62,-63,-74,-64,3.6576,3.048,4.572
-63,-61,-68,-56,-81,-53,4.2672,3.048,4.572
-63,-61,-68,-56,-81,-53,4.8768,3.048,4.572
-63,-61,-68,-56,-81,-53,5.4864,3.048,4.572
-67,-64,-58,-62,-71,-57,6.096,3.048,4.572
-67,-64,-58,-62,-71,-51,6.7056,3.048,4.572
-57,-58,-60,-54,-70,-54,7.3152,3.048,4.572
-57,-58,-60,-54,-70,-54,7.9248,3.048,4.572
-57,-58,-60,-54,-70,-54,8.5344,3.048,4.572
-71,-67,-67,-70,-73,-54,9.144,3.048,4.572
-71,-67,-67,-70,-73,-54,9.7536,3.048,4.572
-71,-67,-67,-70,-73,-54,10.0581,3.048,4.572
-65,-63,-79,-60,-53,-60,0,3.6576,4.572
-62,-63,-74,-61,-70,-64,0.6096,3.6576,4.572
-56,-53,-68,-67,-67,-62,1.2192,3.6576,4.572
-54,-60,-67,-67,-59,-63,1.8288,3.6576,4.572
-64,-61,-68,-63,-71,-59,2.4384,3.6576,4.572
-61,-61,-59,-60,-62,-63,3.048,3.6576,4.572
-61,-60,-63,-64,-51,-62,3.6576,3.6576,4.572
-62,-60,-63,-64,-51,-62,4.2672,3.6576,4.572
-63,-61,-62,-65,-57,-57,4.8768,3.6576,4.572
-64,-63,-71,-63,-67,-53,5.4864,3.6576,4.572
-65,-63,-71,-63,-67,-53,6.096,3.6576,4.572
-65,-61,-64,-72,-68,-34,6.7056,3.6576,4.572
-67,-61,-64,-72,-68,-34,7.3152,3.6576,4.572
-69,-64,-64,-81,-66,-50,7.9248,3.6576,4.572
-69,-67,-78,-67,-66,-56,8.5344,3.6576,4.572
-69,-67,-78,-67,-66,-56,9.144,3.6576,4.572
-70,-70,-73,-53,-63,-72,9.7536,3.6576,4.572
-70,-65,-73,-67,-62,-60,10.0581,3.6576,4.572
-60,-55,-65,-65,-60,-53,0,4.2672,4.572
-59,-55,-65,-65,-60,-53,0.6096,4.2672,4.572
-60,-58,-70,-64,-52,-54,1.2192,4.2672,4.572
-61,-60,-63,-62,-51,-58,1.8288,4.2672,4.572
-62,-58,-61,-64,-63,-57,2.4384,4.2672,4.572
-61,-58,-61,-64,-63,-57,3.048,4.2672,4.572
-63,-58,-68,-52,-53,-62,3.6576,4.2672,4.572
-56,-61,-58,-56,-52,-59,4.2672,4.2672,4.572
-56,-61,-58,-56,-52,-59,4.8768,4.2672,4.572
-59,-60,-67,-56,-54,-58,5.4864,4.2672,4.572
-59,-61,-71,-60,-60,-60,6.096,4.2672,4.572
-60,-61,-71,-60,-60,-60,6.7056,4.2672,4.572
-61,-61,-66,-65,-65,-55,7.3152,4.2672,4.572
-59,-61,-75,-64,-60,-59,7.9248,4.2672,4.572
-62,-63,-63,-64,-55,-62,8.5344,4.2672,4.572
-61,-63,-63,-64,-55,-62,9.144,4.2672,4.572
-62,-63,-60,-50,-57,-64,9.7536,4.2672,4.572
-61,-56,-73,-55,-67,-65,10.0581,4.2672,4.572
-55,-57,-66,-55,-60,-64,0,4.8768,4.572
-56,-57,-66,-57,-62,-65,0.6096,4.8768,4.572
-71,-57,-62,-55,-68,-70,1.2192,4.8768,4.572
-71,-57,-62,-55,-68,-70,1.8288,4.8768,4.572
-57,-56,-62,-57,-56,-66,2.4384,4.8768,4.572
-57,-56,-62,-57,-56,-66,3.048,4.8768,4.572
-59,-65,-71,-56,-58,-67,3.6576,4.8768,4.572
-63,-57,-67,-53,-60,-62,4.2672,4.8768,4.572
-64,-62,-65,-54,-56,-64,4.8768,4.8768,4.572
-68,-60,-63,-54,-50,-58,5.4864,4.8768,4.572
-76,-61,-67,-54,-55,-63,6.096,4.8768,4.572
-70,-67,-63,-59,-71,-68,6.7056,4.8768,4.572
-70,-67,-63,-59,-71,-68,7.3152,4.8768,4.572
-71,-60,-65,-65,-57,-65,7.9248,4.8768,4.572
-63,-70,-67,-60,-64,-64,8.5344,4.8768,4.572
-70,-71,-67,-66,-59,-60,9.144,4.8768,4.572
-67,-60,-67,-59,-69,-58,9.7536,4.8768,4.572
-74,-57,-64,-56,-66,-64,10.0581,4.8768,4.572
-69,-55,-75,-54,-60,-62,0,5.4864,4.572
-76,-53,-71,-56,-57,-54,0.6096,5.4864,4.572
-59,-57,-72,-66,-65,-64,1.2192,5.4864,4.572
-57,-63,-69,-54,-58,-60,1.8288,5.4864,4.572
-58,-65,-63,-62,-67,-61,2.4384,5.4864,4.572
-58,-65,-63,-62,-67,-61,3.048,5.4864,4.572
-58,-65,-63,-62,-67,-61,3.6576,5.4864,4.572
-64,-67,-68,-56,-55,-61,4.2672,5.4864,4.572
-67,-67,-70,-56,-55,-60,4.8768,5.4864,4.572
-59,-62,-65,-50,-61,-53,5.4864,5.4864,4.572
-59,-62,-65,-50,-61,-53,6.096,5.4864,4.572
-59,-62,-65,-50,-61,-53,6.7056,5.4864,4.572
-59,-62,-65,-50,-61,-53,7.3152,5.4864,4.572
-66,-64,-69,-60,-49,-57,7.9248,5.4864,4.572
-66,-64,-69,-60,-49,-57,8.5344,5.4864,4.572
-66,-64,-69,-60,-49,-57,9.144,5.4864,4.572
