,X,Y,AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),LOS APs
0,0,1,2683,5946,10730,6385,-51,-72,-70,-77,2
1,0,1,2658,6096,11386,6541,-52,-74,-72,-77,2
2,0,1,2906,6129,10676,6888,-52,-74,-70,-77,2
3,0,1,2763,5810,10617,6710,-53,-72,-72,-77,2
4,0,1,2871,5745,12164,6919,-53,-74,-73,-77,2
5,0,1,2681,5986,11873,6701,-53,-74,-73,-77,2
6,0,1,2625,6026,12016,6773,-53,-74,-73,-77,2
7,0,1,2787,5726,10727,6848,-53,-75,-71,-80,2
8,0,1,2707,5693,10608,6541,-53,-75,-71,-79,2
9,0,1,2906,5960,10734,6579,-53,-74,-72,-79,2
10,0,1,2686,5920,10858,6579,-52,-73,-71,-80,2
11,0,1,2607,6115,10730,6544,-52,-74,-72,-79,2
12,0,1,2898,6002,10666,6460,-53,-74,-72,-78,2
13,0,1,2744,6129,10615,6426,-53,-74,-72,-78,2
14,0,1,2857,6005,10617,6541,-52,-74,-72,-78,2
15,0,1,2744,6075,10708,6548,-52,-74,-72,-78,2
16,0,1,2716,6145,10680,6469,-52,-74,-72,-78,2
17,0,1,2789,6112,10589,6741,-52,-74,-71,-79,2
18,0,1,2805,5801,10469,6854,-53,-75,-71,-79,2
19,0,1,2604,5805,10760,6469,-52,-76,-71,-79,2
20,0,1,2566,6166,10526,6579,-52,-75,-71,-79,2
21,0,1,2638,6204,10582,6541,-52,-74,-72,-78,2
22,0,1,2648,6091,10472,6582,-52,-75,-72,-79,2
23,0,1,2757,5740,10470,6616,-52,-75,-71,-78,2
24,0,1,2566,5967,10465,6773,-53,-76,-71,-79,2
25,0,1,2710,5873,10460,6613,-53,-76,-71,-79,2
26,0,1,2604,5775,10523,6588,-53,-76,-71,-79,2
27,0,1,2863,5883,10582,6807,-53,-75,-71,-79,2
28,0,1,2751,5932,10737,6660,-53,-75,-71,-79,2
29,0,1,2638,6108,10502,6579,-52,-75,-71,-79,2
30,0,1,2775,6173,10558,6663,-52,-74,-70,-78,2
31,0,1,2566,5808,10556,6704,-52,-75,-71,-79,2
32,0,1,2829,5941,10580,6616,-53,-75,-72,-79,2
33,0,1,2597,5892,10413,6776,-52,-75,-71,-79,2
34,0,1,2714,6082,10528,6579,-53,-75,-71,-79,2
35,0,1,2651,5960,10502,6776,-53,-74,-71,-79,2
36,0,1,2676,5869,10594,6741,-53,-75,-71,-79,2
37,0,1,2713,6101,10547,6860,-53,-75,-71,-79,2
38,0,1,2794,6049,10467,6816,-53,-75,-71,-79,2
39,0,1,2794,5955,10556,6694,-53,-75,-71,-79,2
40,0,1,2714,6070,10526,6779,-53,-75,-70,-79,2
41,0,1,2604,5927,10348,6741,-53,-75,-71,-79,2
42,0,1,2685,5970,10467,6816,-53,-75,-70,-79,2
43,0,1,2676,6070,10641,6698,-53,-74,-71,-78,2
44,0,1,2901,5932,10528,6579,-53,-74,-71,-79,2
45,0,1,2651,6075,10383,6854,-53,-75,-71,-79,2
46,0,1,2651,5984,10699,6891,-52,-75,-71,-79,2
47,0,1,2648,6112,10699,6857,-53,-75,-71,-79,2
48,0,1,2682,5972,10502,6666,-53,-74,-71,-78,2
49,0,1,2682,5974,10636,6785,-53,-74,-71,-78,2
50,0,1,2686,6051,10545,6616,-53,-74,-71,-78,2
51,0,1,2655,5925,10530,6732,-53,-74,-71,-79,2
52,0,1,2607,6009,10584,6616,-53,-74,-72,-78,2
53,0,1,2796,6054,10791,6579,-53,-74,-71,-79,2
54,0,1,2679,5782,10786,6616,-53,-75,-70,-79,2
55,0,1,2744,5831,10699,6466,-52,-74,-70,-79,2
56,0,1,2716,6232,10816,6657,-52,-74,-70,-80,2
57,0,1,2823,5939,10666,6776,-52,-74,-71,-80,2
58,0,1,2748,5871,10605,6854,-53,-74,-71,-80,2
59,0,1,2788,6026,11871,7051,-53,-74,-72,-79,2
60,0,1,2601,5941,11583,6732,-52,-73,-72,-80,2
61,0,1,2625,6077,11817,6891,-52,-73,-73,-80,2
62,0,1,2641,6037,11820,6729,-52,-72,-72,-78,2
63,0,1,2648,6141,11752,6579,-53,-74,-73,-78,2
64,0,1,2894,6061,11468,6741,-53,-73,-72,-79,2
65,0,1,2604,6098,11927,6779,-52,-73,-72,-79,2
66,0,1,2686,6009,11632,6694,-53,-73,-72,-79,2
67,0,1,2651,6033,11848,6816,-53,-73,-72,-79,2
68,0,1,2613,5998,10875,6735,-52,-74,-72,-80,2
69,0,1,2843,5780,11571,6748,-52,-73,-71,-77,2
70,0,1,2683,5920,10945,6916,-53,-74,-72,-79,2
71,0,1,2719,6129,11611,7041,-52,-74,-71,-80,2
72,0,1,2757,5908,12133,6935,-53,-75,-71,-81,2
73,0,1,2655,6009,11583,6450,-53,-74,-72,-80,2
74,0,1,2679,5775,11292,6623,-53,-75,-72,-79,2
75,0,1,2686,5726,11201,6832,-53,-76,-71,-77,2
76,0,1,2651,5777,11262,6851,-53,-74,-71,-77,2
77,0,1,2655,5808,10873,6654,-53,-76,-70,-77,2
78,0,1,2716,5993,10840,6704,-53,-75,-70,-79,2
79,0,1,2815,5780,10575,7387,-54,-74,-70,-78,2
80,0,1,2653,5955,11939,6929,-52,-73,-71,-78,2
81,0,1,2785,5810,11487,7038,-53,-74,-71,-78,2
82,0,1,2723,6033,10896,7054,-52,-74,-69,-78,2
83,0,1,2850,5967,10725,7127,-53,-74,-71,-78,2
84,0,1,2995,6110,10610,6616,-53,-74,-71,-77,2
85,0,1,2906,5937,10723,7097,-53,-75,-71,-78,2
86,0,1,2855,5719,10823,6921,-53,-76,-72,-78,2
87,0,1,2683,5773,10915,7010,-53,-76,-71,-80,2
