r1, r2, r3, r4, x, y
8,42,90,63,0,1
0,39,42,49,1,1
25,29,63,52,2,1
5,28,32,59,3,1
18,42,49,35,4,1
18,35,42,32,5,1
49,93,32,46,6,1
22,73,39,73,7,1
46,35,39,59,8,1
52,35,70,52,9,1
39,49,83,59,10,1
18,52,35,32,11,1
83,49,83,59,12,1
42,39,29,66,13,1
52,70,25,83,14,1
29,87,32,46,15,1
90,56,18,18,16,1
73,63,42,22,17,1
63,80,18,5,18,1
76,52,49,15,19,1
70,70,39,11,20,1
59,11,52,80,0,2
0,39,49,80,1,2
0,52,56,73,2,2
0,42,35,56,3,2
22,25,73,46,4,2
18,59,52,39,5,2
39,32,39,70,6,2
22,29,83,25,7,2
63,46,63,80,8,2
49,52,32,32,9,2
83,69,32,25,10,2
32,56,18,35,11,2
66,39,35,8,12,2
46,49,32,49,13,2
63,39,39,25,14,2
56,73,22,18,16,2
66,32,46,22,17,2
69,59,32,25,18,2
35,59,35,39,19,2
59,46,25,11,20,2
32,11,70,49,0,3
18,49,76,56,1,3
39,18,46,49,2,3
49,29,52,63,3,3
39,59,59,56,4,3
56,39,42,42,5,3
18,25,73,93,6,3
49,25,63,66,7,3
29,42,83,59,8,3
39,22,80,49,9,3
29,35,42,52,10,3
59,59,42,42,11,3
39,45,46,39,12,3
25,73,46,76,13,3
52,52,93,29,14,3
76,66,42,63,15,3
110,63,25,80,16,3
76,35,42,35,17,3
46,70,5,29,18,3
59,59,25,11,19,3
70,49,46,18,20,3
0,15,39,80,0,4
73,25,73,59,1,4
11,42,49,49,2,4
25,18,73,83,3,4
63,35,87,29,4,4
42,45,80,56,5,4
83,49,49,39,6,4
32,49,39,52,7,4
63,49,56,46,8,4
63,49,42,63,9,4
32,45,56,76,9,4
52,87,46,59,10,4
59,56,49,49,11,4
32,39,59,93,12,4
52,83,11,39,13,4
56,76,69,15,14,4
73,66,25,25,15,4
49,63,28,32,16,4
76,52,32,32,17,4
73,39,39,35,18,4
49,76,11,42,19,4
52,70,0,42,20,4
32,0,52,66,0,5
32,18,49,49,1,5
8,8,66,8,2,5
22,46,83,90,3,5
0,0,52,66,4,5
22,56,103,73,5,5
29,28,29,66,6,5
39,46,32,59,7,5
46,42,52,42,8,5
11,63,39,35,9,5
52,39,76,73,10,5
52,59,29,87,11,5
52,42,59,32,12,5
49,39,32,66,13,5
59,49,46,39,14,5
35,49,18,25,15,5
45,56,35,46,16,5
66,46,39,25,17,5
46,63,11,39,18,5
56,70,8,11,19,5
83,46,0,18,20,5
56,63,28,56,0,6
46,18,39,39,1,6
35,0,49,69,2,6
22,15,46,46,3,6
42,29,49,52,4,6
29,35,42,49,5,6
49,29,29,52,6,6
35,22,52,32,7,6
56,87,42,73,8,6
69,35,52,25,9,6
39,25,42,56,10,6
86,39,56,73,11,6
52,39,76,63,12,6
107,73,42,110,13,6
29,42,63,49,14,6
63,52,28,56,15,6
97,70,46,32,16,6
63,39,11,22,17,6
49,80,0,39,18,6
46,66,0,46,19,6
66,63,0,49,20,6
