r1,r2,r3
3.6,0.0,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
3.6,7.2,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
8.8,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
9.6,16.4,0.0
