r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,X,Y,Z
,-58,-80,,,,,,,,,-81,-85,,-80,-79,,,,,,,,,,,,3.6,7.2,0
,-58,-80,,,,,,,,,-81,-85,,-80,-79,,,,,,,,,,,,3.6,7.2,0
,-58,-80,,,,,,,,,-81,-85,,-80,-79,,,,,,,,,,,,3.6,7.2,0
-76,-58,-77,-69,,-82,,,,,,-79,-86,,-81,-83,,,,,,,,,,,,3.6,7.2,0
-76,-58,-77,-69,,-82,,,,,,-79,-86,,-81,-83,,,,,,,,,,,,3.6,7.2,0
-76,-58,-77,-69,,-82,,,,,,-79,-86,,-81,-83,,,,,,,,,,,,3.6,7.2,0
-76,-57,-78,-69,,-82,,-88,,,-69,-84,-86,,-82,-80,,,,,,,,,,,,3.6,7.2,0
,-57,-78,,,,,-88,,,-69,-84,,,-82,-80,,,,,,,,,,,,3.6,7.2,0
,-57,-78,,,,,-88,,,-69,-84,,,-82,-80,,,,,,,,,,,,3.6,7.2,0
,-57,-78,,,,,-88,,,-68,-84,-86,-63,-82,-82,,,,,,,,,,,,3.6,7.2,0
,-57,,,,,,-88,,,-68,,-86,-63,,-82,,,,,,,,,,,,3.6,7.2,0
,-57,,,,,,-88,,,-68,,-86,-63,,-82,,,,,,,,,,,,3.6,7.2,0
,-57,-83,,,,,-86,,,-68,,-86,-63,,-78,,,,,,,,,,,,3.6,7.2,0
,-57,-83,,,,,-86,,,-68,,-86,-63,,-78,,,,,,,,,,,,3.6,7.2,0
,-57,-83,,,,,-86,,,,,-86,,,-78,,,,,,,,,,,,3.6,7.2,0
,-58,-80,,,,,-86,,,-71,-79,-86,,-86,-78,,-87,,,,,,,,,,3.6,7.2,0
,-58,-80,,,,,-86,,,-71,-79,-86,,-86,-78,,-87,,,,,,,,,,3.6,7.2,0
,-58,-80,,,,,,,,-71,-79,,,-86,,,-87,,,,,,,,,,3.6,7.2,0
-74,-56,-80,-60,,,,-89,,-84,-68,-79,,-62,-86,-86,,-83,,,,-87,,,,,,3.6,7.2,0
-74,-56,-80,-60,,,,-89,,-84,-68,-79,,-62,-86,-86,,-83,,,,-87,,,,,,3.6,7.2,0
-74,-56,-80,-60,,,,-89,,-84,-68,-79,,-62,,-86,,-83,,,,-87,,,,,,3.6,7.2,0
-72,-60,-77,-65,-85,-78,,-89,,-84,-66,-75,,-60,,-86,-74,-83,,,,-87,,,,,,3.6,7.2,0
-72,-60,-77,-65,-85,-78,,-89,,-84,-66,-75,,-60,,-86,-74,-83,,,,-87,,,,,,3.6,7.2,0
-72,-60,-77,-65,-85,-78,,-89,,,-66,-75,,-60,,,-74,,,,,,,,,,,3.6,7.2,0
-69,-60,-73,-65,-85,-78,,-89,,,-66,-76,-80,-60,,-87,-74,,,,,,-82,,,,,3.6,7.2,0
-69,-60,-73,-65,-85,-78,,-89,,,-66,-76,-80,-60,,-87,-74,,,,,,-82,,,,,3.6,7.2,0
-69,-60,-73,,,,,,,,,-76,-80,,,-87,,,,,,,-82,,,,,3.6,7.2,0
-69,-60,-76,-59,-90,,-80,,,,,-76,-81,-67,,-82,-80,,,,,,-82,,,,,3.6,7.2,0
-69,-60,-76,-59,-90,,-80,,,,,-76,-81,-67,,-82,-80,,,,,,-82,,,,,3.6,7.2,0
,-60,-76,-59,-90,,-80,,,,,-76,-81,-67,,-82,-80,,,,,,-82,,,,,3.6,7.2,0
-67,-56,-76,-59,-82,,-80,-84,,,,-78,-81,-59,-75,-82,-80,,,,,,-82,,,,,3.6,7.2,0
-67,-56,-76,-59,-82,,-80,-84,,,,-78,-81,-59,-75,-82,-80,,,,,,-82,,,,,3.6,7.2,0
-67,-56,-76,,-82,,,-84,,,,-78,,-59,-75,-82,,,,,,,,,,,,3.6,7.2,0
-67,-51,-76,,-82,,,-86,,,,-73,-84,-58,-75,-79,,,,,,,-79,,,,,3.6,7.2,0
-67,-51,-76,,-82,,,-86,,,,-73,-84,-58,-75,-79,,,,,,,-79,,,,,3.6,7.2,0
